Topic,temperature1,temperature2,AverageSimilarity
6,0.0,0.25,0.99999994
6,0.0,0.5,0.99999994
6,0.0,0.75,0.9949543
6,0.0,1.0,0.97981733
6,0.0,1.25,0.9899086
6,0.0,1.5,0.98446715
6,0.0,1.75,0.96434724
6,0.0,2.0,0.9302235
6,0.25,0.0,0.99999994
6,0.25,0.25,0.99999994
6,0.25,0.5,0.99999994
6,0.25,0.75,0.9949543
6,0.25,1.0,0.97981733
6,0.25,1.25,0.9899086
6,0.25,1.5,0.98446715
6,0.25,1.75,0.96434724
6,0.25,2.0,0.9302235
6,0.5,0.0,0.99999994
6,0.5,0.25,0.99999994
6,0.5,0.5,0.99999994
6,0.5,0.75,0.9949543
6,0.5,1.0,0.97981733
6,0.5,1.25,0.9899086
6,0.5,1.5,0.98446715
6,0.5,1.75,0.96434724
6,0.5,2.0,0.9302235
6,0.75,0.0,0.9949542
6,0.75,0.25,0.9949542
6,0.75,0.5,0.9949542
6,0.75,0.75,0.9904132
6,0.75,1.0,0.97679
6,0.75,1.25,0.9858721
6,0.75,1.5,0.98086786
6,0.75,1.75,0.96167207
6,0.75,2.0,0.9272629
6,1.0,0.0,0.97981733
6,1.0,0.25,0.97981733
6,1.0,0.5,0.97981733
6,1.0,0.75,0.97679
6,1.0,1.0,0.9677078
6,1.0,1.25,0.9737626
6,1.0,1.5,0.9700699
6,1.0,1.75,0.95364654
6,1.0,2.0,0.91838104
6,1.25,0.0,0.9899086
6,1.25,0.25,0.9899086
6,1.25,0.5,0.9899086
6,1.25,0.75,0.9858722
6,1.25,1.0,0.9737626
6,1.25,1.25,0.9818356
6,1.25,1.5,0.9772685
6,1.25,1.75,0.9589969
6,1.25,2.0,0.9243022
6,1.5,0.0,0.98446715
6,1.5,0.25,0.98446715
6,1.5,0.5,0.98446715
6,1.5,0.75,0.9808679
6,1.5,1.0,0.9700699
6,1.5,1.25,0.9772685
6,1.5,1.5,0.9732456
6,1.5,1.75,0.95578706
6,1.5,2.0,0.92073244
6,1.75,0.0,0.96434724
6,1.75,0.25,0.96434724
6,1.75,0.5,0.96434724
6,1.75,0.75,0.96167207
6,1.75,1.0,0.95364654
6,1.75,1.25,0.9589969
6,1.75,1.5,0.95578706
6,1.75,1.75,0.94192934
6,1.75,2.0,0.90562165
6,2.0,0.0,0.93022346
6,2.0,0.25,0.93022346
6,2.0,0.5,0.93022346
6,2.0,0.75,0.9272629
6,2.0,1.0,0.91838104
6,2.0,1.25,0.9243023
6,2.0,1.5,0.92073244
6,2.0,1.75,0.90562165
6,2.0,2.0,0.8756863
7,0.0,0.0,0.78835905
7,0.0,0.25,0.7737121
7,0.0,0.5,0.777037
7,0.0,0.75,0.7253777
7,0.0,1.0,0.63841546
7,0.0,1.25,0.69124407
7,0.0,1.5,0.6186577
7,0.0,1.75,0.5752529
7,0.0,2.0,0.49190262
7,0.25,0.0,0.7737121
7,0.25,0.25,0.7897168
7,0.25,0.5,0.76358956
7,0.25,0.75,0.7098702
7,0.25,1.0,0.6432367
7,0.25,1.25,0.697556
7,0.25,1.5,0.61410815
7,0.25,1.75,0.5591834
7,0.25,2.0,0.4973369
7,0.5,0.0,0.777037
7,0.5,0.25,0.76358956
7,0.5,0.5,0.76725465
7,0.5,0.75,0.7171622
7,0.5,1.0,0.63233304
7,0.5,1.25,0.6845926
7,0.5,1.5,0.617673
7,0.5,1.75,0.57629305
7,0.5,2.0,0.49091193
7,0.75,0.0,0.7253777
7,0.75,0.25,0.7098703
7,0.75,0.5,0.7171622
7,0.75,0.75,0.68248415
7,0.75,1.0,0.60888404
7,0.75,1.25,0.65292037
7,0.75,1.5,0.5977175
7,0.75,1.75,0.5633622
7,0.75,2.0,0.4808954
7,1.0,0.0,0.63841546
7,1.0,0.25,0.6432367
7,1.0,0.5,0.63233304
7,1.0,0.75,0.60888404
7,1.0,1.0,0.58818483
7,1.0,1.25,0.60348725
7,1.0,1.5,0.5518703
7,1.0,1.75,0.50317925
7,1.0,2.0,0.45818394
7,1.25,0.0,0.6912441
7,1.25,0.25,0.697556
7,1.25,0.5,0.6845926
7,1.25,0.75,0.6529205
7,1.25,1.0,0.6034872
7,1.25,1.25,0.64385986
7,1.25,1.5,0.5841378
7,1.25,1.75,0.5417699
7,1.25,2.0,0.48040047
7,1.5,0.0,0.6186577
7,1.5,0.25,0.61410815
7,1.5,0.5,0.617673
7,1.5,0.75,0.5977175
7,1.5,1.0,0.55187035
7,1.5,1.25,0.5841378
7,1.5,1.5,0.56384325
7,1.5,1.75,0.536953
7,1.5,2.0,0.4579766
7,1.75,0.0,0.5752529
7,1.75,0.25,0.5591835
7,1.75,0.5,0.57629305
